                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12137,                0.14909,               0.075748,               0.077946,              0.0083571,                0.23316,               0.008829,              0.0022611,              0.0043457,                0.13692,              0.0042374,              0.0009667,                0.10703,               0.093666,                0.05879,               0.069855,               0.070667,              0.0032593,              0.0032593
                      1,               0.098123,               0.087606,               0.092765,                0.06781,                0.02244,               0.087143,                0.01234,              0.0022403,               0.038094,               0.040955,               0.014436,              0.0035572,               0.089405,                0.07803,                0.09302,               0.061728,               0.040014,              0.0059399,              0.0059399
                      2,               0.087551,               0.080216,               0.096848,               0.060802,                0.46595,               0.049691,               0.045783,               0.011139,                0.44281,               0.019094,               0.019378,              0.0060472,               0.083275,               0.081273,               0.081535,               0.054465,              0.0087013,              0.0079606,              0.0079606
                      3,               0.090417,               0.077993,               0.091236,               0.056252,                0.21082,               0.072835,               0.013941,              0.0065807,                0.21292,               0.083766,                0.01508,              0.0075836,                0.08324,               0.072638,               0.062055,               0.052391,                0.00703,                0.00703,                0.00703
                      4,               0.083102,               0.072927,               0.091948,               0.055068,                0.44014,                0.14576,               0.048432,               0.014927,                0.45122,               0.093646,                0.04433,               0.015213,               0.073406,               0.071374,                 0.0671,               0.051456,                0.00703,                0.00703,                0.00703
                      5,               0.076212,               0.071184,               0.093883,               0.052862,                0.43761,                0.14168,               0.047821,                0.01756,                0.44298,                0.12981,               0.042304,               0.017379,               0.068269,               0.070214,               0.066725,               0.050447,                0.00604,                0.00604,                0.00604
                      6,                0.07136,               0.068871,               0.088539,               0.052194,                0.47605,                  0.143,                0.08458,                0.03567,                0.46181,                0.11739,               0.062968,               0.029445,               0.058843,               0.069007,               0.066586,               0.049938,                0.00505,                0.00505,                0.00505
                      7,               0.064631,               0.069195,               0.088666,                 0.0518,                0.48796,                0.19049,                0.10868,                0.05163,                0.46875,                0.15673,               0.082484,               0.038364,               0.054139,               0.068901,               0.066326,                0.04931,                0.00406,                0.00406,                0.00406
                      8,               0.060847,               0.067475,               0.093942,               0.050643,                  0.525,                0.19083,                0.11519,               0.056216,                0.29113,                0.18432,               0.081425,               0.037206,                0.05148,               0.067757,               0.066835,               0.049062,                0.00307,                0.00307,                0.00307
                      9,               0.058909,               0.068521,               0.096025,               0.050906,                0.32295,                0.20571,                0.13897,                0.07621,                0.30954,                0.15744,               0.093811,               0.044193,               0.050921,               0.068036,                 0.0666,               0.048857,                0.00208,                0.00208,                0.00208
                     10,                0.32339,                 0.2057,                0.13943,               0.076351,                0.31007,                0.15744,               0.094199,               0.044264,               0.050904,               0.068031,               0.066591,               0.048863
